What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Ella,Female,Yes,156.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Unfamiliar dogs away from the home, We were attacked in a park when she was 15 years old",True,Post-traumatic Stress Disorder (PTSD),True,"Stangers, Familiar people",True,"Owners are present, At triggers (outside), At triggers (inside)",True,The feces of other animals,False,,True,Owners are away,Urine,Specific locations,False,,False,,False,,False,,False,,False,8a8ed51fcfc8b314d6bad883a48b6983,,, ,5/15/2020 21:02:06,hvm5disx3ivloyuqvhvm5cm3asq9wz01
Yoshi,Male,Yes,75.0,True,No,,,No,,,,True,"Unfamiliar dogs away from the home, Unfamiliar dogs in the home",True,"Fear of noises, Fear of other dogs",False,,False,,True,The feces of other animals,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,False,66f16aa997f0f23d539335c218362c60,,, ,5/15/2020 21:05:05,12fgkg8er06jcqv12fgjnzfxit4ksfvp
Bosco,Male,Yes,53.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers away from the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of noises, Fear of thunderstorms",False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,False,,,,True,"I think it was scat, but not positive. Really gross though.",False,,False,,False,,False,,False,9b896fb39d8c4730f8c9901297631b2c,,, ,5/15/2020 21:24:13,4q5gpqcmqnnummfg9v4q5gz22vcw7f2d
Rory,Male,Yes,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,a9cf7ea9f6e8d769099ef7793270501d,,, ,5/15/2020 21:28:27,bvy5qr61i4qta9a6ujbvy5qrknseac1x
Adelaide,Female,Yes,158.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Unfamiliar dogs away from the home,False,,True,"Familiar people, Stangers",False,,False,,False,,True,Owners are away,Both feces and urine,Anywhere,False,,False,,False,,False,,False,,False,b239ee2492693fff6d4aeb228b7f5d26,,, ,5/15/2020 21:48:27,jz1q6w7761qtrfvey9xjz1q6wjfju5lc
Rufus,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,58d410165c5392797d93c3230f6966f6,,, ,5/15/2020 21:56:22,fm4enub42rub3lfj8fm4enubdeojktgo
Isa,Female,Yes,15.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of other dogs,False,,False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,75ed000838ceac6ba9a666af6e17335e,,, ,5/15/2020 22:07:35,0fxgw27ib5fyrvi3q4ol0fxgwobjlofx
Bandit,Male,Yes,28.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,True,"Fear of noises, Travel anxiety",False,,False,,False,,False,,False,,,,True,"Dead stuff, Feces",True,"Impulsiveness, Easily distracted, Constant moving/jumping",False,,False,,False,,True,daaa53b28e00e8d60148dfdfd39faa16,,, ,5/15/2020 22:07:18,7kg8fu8i3mbvz2b3vdaj7kg8fu8j10pn
Josie,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25ddd555b383976662f2fb1ebdd884e2,,, ,5/15/2020 22:05:32,pb6c7psdf6e7bnmuzy30pb6c7psh41jd
Maggie,Female,Yes,152.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,"Fear of veterinary visits, Fear of thunderstorms, Separation anxiety, Generalized anxiety",False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,False,daaa53b28e00e8d60148dfdfd39faa16,We have submissions for:,,", ",5/15/2020 22:09:51,s6p7ygjgkwh3s6yg2j69z1fhz46ad7uc
Josie,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25ddd555b383976662f2fb1ebdd884e2,,, ,5/15/2020 22:07:51,ue805plb2mnue803hvwfrz36kl26nr22
Saga,Female,Yes,15.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Unfamiliar dogs away from the home,False,,False,,True,To get attention,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,75ed000838ceac6ba9a666af6e17335e,We have submissions for:,,", ",5/15/2020 22:11:20,93ek0swkhp94lifx93eqfc528spgodh5
Ranger,Male,Yes,114.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,True,Licking furniture ,False,,,,False,,False,,True,Owner is away,False,,False,,False,5e458dc6a24f0fabd040293b343565e8,,, ,5/15/2020 22:12:43,psuavv2aur5gseqpsua39xz5qg702b5n
Luna-Pie,Female,Yes,108.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Sent to professional training school/boot camp,"Continue to practice and use training skills in home, 18-36 months (social maturity)",False,,True,Fear of noises,False,,False,,True,Their own feces,False,,False,,,,False,,False,,False,,False,,False,,True,1448505ba8c9bc1af07d6305137389ab,,, ,5/15/2020 22:18:03,ylp7vvdgmuixof3sjbaylp71twwnn13o
Peggy-Sue,Female,Yes,96.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,True,"Escaped when out, Returns home after escape",False,,False,1448505ba8c9bc1af07d6305137389ab,We have submissions for:,,", ",5/15/2020 22:20:40,e9xw99chyva08gpe9xw4dq80xc94qie1
Juno,Female,Yes,132.0,False,I don't know,,,No,,,,True,"Strangers visiting the home, Unfamiliar dogs away from the home",True,"Fear of crowds, Separation anxiety",False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,True,She had a urinary track infection,Both feces and urine,Specific locations,True,Dead stuff,False,,False,,False,,False,,False,358a1c2407332b070a28f54334f2259b,,, ,5/15/2020 22:35:27,eyk9ucoxkhvncpw40aeyk9uchymwlmrk
Blue,Male,Yes,132.0,True,No,,,Yes,Reward based,Sent to professional training school/boot camp,18-36 months (social maturity),True,Strangers visiting the home,True,Generalized anxiety,False,,False,,False,,True,Licking of the wrist/hock,False,,,,True,Dead stuff,False,,False,,True,Returns home after escape,False,,False,fd172ecb93909e97ab57f1845e1ad6e7,,, ,5/15/2020 22:37:30,d3bwj9720f2xqgzwed3bx1pc3mmhzlzi
Pancho,Male,Yes,30.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),True,"Familiar people away from the home, Strangers visiting the home, Strangers away from the home, Unfamiliar dogs away from the home, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Travel anxiety, Generalized anxiety",False,,True,"At triggers (inside), At triggers (outside), Owners are present",False,,False,,False,,,,False,,False,,False,,False,,True,Familiar dogs,False,f26d30285b78fa8e7515142b6c2eb13a,,, ,5/15/2020 22:39:34,c98si5mqqozgz1zwkkc98s2bttwilwt7
Sasha,Female,Yes,73.0,False,No,,,No,,,,True,"Familiar people away from the home, Strangers visiting the home, Strangers away from the home, Unfamiliar dogs away from the home, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Fear of other dogs, Generalized anxiety",False,,True,"At triggers (inside), At triggers (outside), Owners are present, During car rides",True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,True,"Owners are present, Owners are away, Exited/overwhelmed",Both feces and urine,Anywhere,False,,True,Difficulty settling,True,Owner is away,True,"Returns home after escape, Escaped when out",True,cats,True,ea363a743defe14e2a8e42c422f49e66,,, ,5/15/2020 22:40:11,eheqehkw0by57za5iqr0eheqea2vti6d
Shadow Gray Beard Dimplebaum,Male,Yes,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,b687d8840fb79968f44c7afe4293d537,,, ,5/15/2020 22:36:58,o92tlm0hckok4oo92t5nnzs18edpjt21
Yuki,Female,Yes,62.0,False,No,,,No,,,,False,,True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,True,something on ground,False,,False,,True,Escaped when out,False,,False,ea363a743defe14e2a8e42c422f49e66,We have submissions for:,,", ",5/15/2020 22:43:37,jflupfu9pnyohjflupfnxp2olqckw1ms
Sophia,Female,Yes,105.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,True,To get attention,False,,False,,False,,,,False,,False,,False,,False,,False,,False,e24afea051f61952bbca4bf1b9cfea15,,, ,5/15/2020 22:59:46,ujbjmhivednykaqxguid5ujbjmhnt1en
Eva,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,e7546fcb06d1373624009835fc583179,,, ,5/15/2020 23:03:41,5489yhg0zepau4gqxhdx5489yhgk896k
Luca,Male,Yes,99.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,Sometimes when he is leashed the sound of barking dogs makes him nervous.,False,,False,,False,,False,,False,,,,True,"Urine, Dead stuff",False,,False,,False,,True,Familiar dogs,True,e7546fcb06d1373624009835fc583179,We have submissions for:,,", ",5/15/2020 23:10:03,pmnk7x0mp5zoz1zvyf1kzrmpmnk7x0il
Jazzy,Female,Yes,82.0,False,I don't know,,,No,,,,False,,True,"Fear of thunderstorms, Travel anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,e7546fcb06d1373624009835fc583179,We have submissions for:,,", ",5/16/2020 1:19:21,2cavbdrm9zu1jlpxd7m5z02cavbdmui1
Ellie Mae,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,be9205773a11b68c0624f8c5d4cd255a,,, ,5/15/2020 23:11:06,cqr9omq7cgdjkdcqr97fjotcufp3x8v5
Kado,Male,Yes,66.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Separation anxiety,True,Familiar people,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,0b960a4fcfd17d781e1f8ad95c3a5c16,,, ,5/15/2020 23:17:51,behpk48r5sysoploqqfbehpxx3midsmo
Darth Vader,Male,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,601718586ba274ec73386b82eec5cd05,,, ,5/15/2020 23:14:50,d912s6gjxickhu7bdrzdd912s6gsl1wj
Fen,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0fd26471350fbc5908dcf308ee12c0ca,,, ,5/15/2020 23:18:16,heiicesvtf8y3ohheii7yl4oh6j7667c
Tegan,Female,Yes,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,682cf593a714eb01fe60ef5a6effaf27,,, ,5/15/2020 23:29:54,bx7woja2jhyvb329kbx73z9ai687o0f8
Dax,Male,Yes,114.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,True,Dog feces other than their own,True,Digging in the yard,False,,,,True,Feces,False,,False,,False,,True,People,False,a6b9c85a367a6111178f617e23ddfcc5,,, ,5/15/2020 23:48:16,aeolq8p63pu94a3fgaeo22ytbfqpx665
Sicily,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,7bdd1ca9bdd7276b6a0dabfbb8b7cb57,,, ,5/15/2020 23:40:14,7n0kh2zktdhtg0nwkh7n004ckka0dfab
Barrett,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,7bdd1ca9bdd7276b6a0dabfbb8b7cb57,We have submissions for:,,", ",5/15/2020 23:40:38,3agday9ii95w5dy3sld23agdayb2duw1
Cap,Male,Yes,101.0,False,No,,,No,,,,False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,bbc97f6cf939712dd1b2bb5509d60485,,, ,5/15/2020 23:42:55,4i40ggpkp8gifzjys4yl4i40gginayxy
Becker,Male,Yes,74.0,False,No,,,No,,,,False,,True,Fear of noises,False,,True,At triggers (outside),False,,False,,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,False,,False,,False,,False,,False,,False,7bdd1ca9bdd7276b6a0dabfbb8b7cb57,We have submissions for:,,", ",5/15/2020 23:43:19,id8hvip211cz8t0if0agu7shid8hvi22
Daisy,Female,Yes,113.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,bbc97f6cf939712dd1b2bb5509d60485,We have submissions for:,,", ",5/15/2020 23:43:57,wd7y3ww5vlnn5kdwd7y3s4uf4hk1alcr
Remi,Female,Yes,33.0,False,No,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7143c152f7d40f9675a199d629d39961,,, ,5/15/2020 23:44:14,o06j0hknq4qhlq93vpro2tio06j0h19f
Bubbie,Male,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1aa41c5a1eb9ab8403f0c158e660515f,,, ,5/15/2020 23:45:27,aaysjdy5osiquaqaaydncgaqpuiwjq5j
Gabriel,Male,Yes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1aa41c5a1eb9ab8403f0c158e660515f,We have submissions for:,,", ",5/15/2020 23:46:31,wsxn02iqouy1qx9610g6wsxn02uzd7ph
Gabriel,Male,Yes,22.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,False,,False,,False,,False,,False,,True,Digging in the yard,False,,,,False,,False,,False,,False,,True,Familiar dogs,True,1aa41c5a1eb9ab8403f0c158e660515f,We have submissions for:,,", ",5/15/2020 23:50:30,d4v2tzb29twtlrk9fd4v2trti1eww3ry
Briley,Female,Yes,116.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,"Fear of thunderstorms, Fear of crowds",False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,True,Exited/overwhelmed,Urine,Anywhere,True,"Dead stuff, Feces",False,,False,,True,Escapes from home,True,People,True,fa05ea3de0647eca5254dcaa48b94f1c,,, ,5/16/2020 0:01:27,aflymw7bkkzs2aflymtvcagjyl19bk8w
Ysma,Female,Yes,98.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,Strangers visiting the home,True,Travel anxiety,False,,False,,False,,False,,True,Son forgot to let her out,Feces,Specific locations,False,,False,,False,,False,,False,,False,35d1aa78746cf79dce7c3d799e7e8ff5,,, ,5/16/2020 0:03:18,bkyexjrig9znj1sh9accbkyexjrf9gsi
Pinky,Male,Yes,68.0,False,I don't know,,,No,,,,True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Travel anxiety, Generalized anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,True,Escapes from home,False,,False,fa05ea3de0647eca5254dcaa48b94f1c,We have submissions for:,,", ",5/16/2020 0:04:26,heeu6repjqxrogdrvgdjhee07ok04245
Fenris,Male,Yes,114.0,False,No,,,No,,,,True,"Unfamiliar dogs in the home, Animals other than dogs, Familiar dogs in the home",True,Fear of thunderstorms,False,,False,,True,The feces of other animals,True,Whining constantly,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,Dead stuff,False,,False,,False,,True,Unfamiliar dogs,False,f1b3c045e2eff30fefd0808587b2e751,,, ,5/16/2020 0:11:27,kuihm64034sxg9hkuihmlpxy5skywfww
Neville,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,e119b945793dae1e6073d3ff8aebe39d,,, ,5/16/2020 0:08:35,kfobgv9b1nnsgz6doz7gkfobg5st6vvu
Coco,Female,Yes,36.0,False,No,,,No,,,,True,Unfamiliar dogs away from the home,False,,True,"Owners, Familiar people, Stangers",True,"To get attention, At triggers (outside), At triggers (inside), Owners are present",False,,True,"Tail chasing, Spinning",False,,,,False,,False,,False,,False,,False,,True,e119b945793dae1e6073d3ff8aebe39d,We have submissions for:,,", ",5/16/2020 0:11:10,q82bw07nxprezmd5q82b74trm0yxjwsr
Vida,Female,Yes,180.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,False,,False,,,,True,"Dead stuff, Feces",True,Easily distracted,False,,False,,False,,False,7edfc0392ad1cd97af95258225efec63,,, ,5/16/2020 0:30:10,yn880dqr045xl2mfa2nyn880uuhuaqtn
Sessie,Female,Yes,96.0,False,No,,,No,,,,True,Unfamiliar dogs away from the home,True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Separation anxiety, Generalized anxiety, Sessie was a feral street dog. Different fears at different times",False,,False,,True,Litter box for cats,False,,False,,,,True,Dead stuff,False,,True,Owner is away,False,,True,Familiar dogs,True,59596ace6c6adee3ab30c5e0547dd8d5,,, ,5/16/2020 0:31:35,ktacjfaud0q7yrkoq0kta3cw756z2nqe
William,Male,Yes,120.0,False,I don't know,,,No,,,,True,"Strangers away from the home, Unfamiliar dogs away from the home",True,"Travel anxiety, Fear of noises, Sudden jarring noises like dishes hitting the floor",False,,False,,True,"The feces of other animals, Litter box cat feces",False,,True,"Owners are present, Owners are away, My fault for not taking out on time and initially marking",Urine,Specific locations,True,Dead stuff,False,,False,,False,,False,,False,59596ace6c6adee3ab30c5e0547dd8d5,We have submissions for:,,", ",5/16/2020 0:36:00,do34fvvz7ytkt0jzdo34fvalkquqjfy2
Diplo,Male,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,9ca26de2684deaf7ab03f154e174884d,,, ,5/16/2020 0:55:59,vf3fj4ohajcrrxuvf30s8tav7f711mgk
Cooper,Male,Yes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,9ca26de2684deaf7ab03f154e174884d,We have submissions for:,,", ",5/16/2020 0:56:31,859ea6xzpx1oa8859bxrzx60goo81sar
Marley,Male,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4b81fd49bd84ddd8d7eaf085f800bdf3,,, ,5/16/2020 1:11:40,rjvbnv6025qa51atbrjvbllks9y1fjr6
Roman,Male,Yes,118.0,False,I don't know,,,Yes,Reward based,Hired in home private trainer,18-36 months (social maturity),True,"Animals other than dogs, Unfamiliar dogs away from the home",True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,False,,False,,False,,True,"Escapes from home, Returns home after escape, Escaped when out",False,,False,e7546fcb06d1373624009835fc583179,We have submissions for:,,", ",5/16/2020 1:24:42,9tqbs72w81manr7xbhhy9tqbs72w19i5
Waylon,Male,Yes,19.0,True,No,,,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Unfamiliar dogs away from the home, Unfamiliar dogs in the home",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Generalized anxiety",False,,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, During car rides, To get attention",False,,False,,False,,,,False,,True,"Difficulty settling, Easily distracted, Impulsiveness",False,,True,"Escapes from confinement, Escapes from home",False,,False,51d062a3239d11c3350602468eca06cb,,, ,5/16/2020 1:27:43,hljue66d0tq660vwkezjghljbmp1yovo
Scout,Male,Yes,60.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Strangers away from the home,True,"Fear of crowds, Fear of other dogs, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",True,"Spinning, Collecting/arranging objects",False,,,,False,,False,,False,,False,,False,,True,645523d545b3fe3868b76954e2b7fc32,,, ,5/16/2020 1:31:43,rg5ysj20zoldnwmwqpnxrg5ys0kus6r8
Maise,Female,Yes,84.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,False,,True,"Dog feces other than their own, The feces of other animals",False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,False,645523d545b3fe3868b76954e2b7fc32,We have submissions for:,,", ",5/16/2020 1:33:17,74ul4r2qyfoafmf2wmhbs474ul4r2kuy
Keeve,Male,Yes,82.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Unfamiliar dogs away from the home,True,"Fear of noises, Fear of thunderstorms",False,,False,,True,The feces of other animals,False,,False,,,,True,"Dead stuff, Feces",False,,True,Owner is away,False,,True,"Familiar dogs, Inanimate objects",True,dcbe0e96b0802965792d3aab689df2fe,,, ,5/16/2020 1:38:01,5pahjq1fxj7silpsj1g5pahjqaril8z4
Maya,Female,Yes,62.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Strangers away from the home, Familiar dogs in the home",True,"Fear of noises, Fear of thunderstorms",False,,False,,True,"The feces of other animals, Dog feces other than their own",False,,False,,,,True,"Feces, Garbage, Dead stuff",False,,False,,False,,True,Inanimate objects,False,dcbe0e96b0802965792d3aab689df2fe,We have submissions for:,,", ",5/16/2020 1:41:02,n3votfwu5fjkczz5tvvuwzn3votfwe3z
Roscoe,Male,Yes,113.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,"Fear of noises, Fear of thunderstorms",False,,False,,False,,True,Licking of the wrist/hock,False,,,,True,Dead stuff,False,,False,,False,,False,,True,89b1f6a36b048bb4c65b16bc511f46c6,,, ,5/16/2020 1:55:30,35p8hkktasfvnypepy5obzs5x35p8hkk
Duncan,Male,Yes,123.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,False,,True,"Owners, Familiar people, Stangers",False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,True,Returns home after escape,False,,False,09c25ae23c741d85b68a661d8de8435b,,, ,5/16/2020 2:02:37,uderjejqwo6ct8uder333n3a40wkibx3
Jamie,Male,Yes,86.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,"Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of noises, Fear of thunderstorms, Separation anxiety",True,"Owners, Familiar people, Stangers",False,,False,,False,,True,Owners are away,Both feces and urine,Specific locations,False,,False,,False,,True,Escaped when out,False,,False,f502429798186f7e62274970f5c18597,,, ,5/16/2020 2:11:03,yedj45i1riv0719inyedjvok1p8vm46h
Harper,Female,Yes,75.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,Strangers visiting the home,False,,False,,False,,False,,False,,True,Owners are away,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,False,4baf6645dce998801183697454193053,,, ,5/16/2020 2:12:20,rickjkaokn41hejkrickjkjpu1tjybj3
Gaston,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,a6ba32b7485b53c43ab61ef0975a9fab,,, ,5/16/2020 2:20:44,tq466c3l07bwtfdectq466qyfpw0i9j9
sterling,Male,Yes,52.0,False,No,,,Yes,Reward based,Hired in home private trainer,18-36 months (social maturity),True,Familiar dogs in the home,True,"Fear of crowds, Veterinary treatment  even if not painful",True,Familiar people,False,,True,The feces of other animals,True,"Digging in the yard, Tennis ball fetish",False,,,,True,Dead stuff,False,,True,Owner is away,False,,False,,False,4f31b92e699a60363b3110d3e5c5312c,,, ,5/16/2020 2:26:15,1uu4c7d5cr5guobri8x1uu4cpyznh68l
Maddie,Female,Yes,86.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,a2328b2f023950881ad4047be9cb8070,,, ,5/16/2020 2:43:52,rjzui4w69xzbr791rjzg2rjatbl36ovg
kona,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7ef899a1752c17a1ac76bfeea1bd97ac,,, ,5/16/2020 2:43:16,7azu4js9nruxw7ehck17azu4fstmvmue
Violet,Female,Yes,132.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,18-36 months (social maturity),True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home",False,,False,,False,,False,,True,Licking of the wrist/hock,False,,,,False,,False,,False,,False,,False,,True,a2328b2f023950881ad4047be9cb8070,We have submissions for:,,", ",5/16/2020 2:52:35,fcybenmv73plr1bcubnnjfcybeuaybeg
